customer_id,snapshot_date,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,multiple_lines,senior_citizen,has_partner,has_dependents,paperless_billing,churn
9313-QOLTZ,2024-01-02,26,month_to_month,mailed_check,none,20.9,518.3,0,0,0,0,0,0,0,0,0,0,0,0
6654-QGBZZ,2024-01-02,1,month_to_month,mailed_check,none,19.9,19.9,0,0,0,0,0,0,0,0,0,0,0,0
6877-LGWXO,2024-01-02,18,month_to_month,electronic_check,fiber_optic,78.55,1422.65,0,0,0,0,0,1,0,1,1,0,0,1
8020-BWHYL,2024-01-02,15,month_to_month,credit_card,fiber_optic,75.3,1147.45,0,1,0,0,0,0,0,1,0,0,1,1
3594-IVHJZ,2024-01-02,2,month_to_month,mailed_check,none,20.45,42.45,0,0,0,0,0,0,0,0,0,0,1,0
9507-EXLTT,2024-01-02,1,month_to_month,bank_transfer,fiber_optic,79.35,79.35,0,0,0,0,1,0,0,0,1,0,1,1
9793-WECQC,2024-01-02,23,month_to_month,mailed_check,fiber_optic,95.3,2192.9,0,1,0,0,1,1,0,0,0,0,0,0
1266-NZYUI,2024-01-02,72,two_year,bank_transfer,dsl,66.85,4758.8,1,0,1,1,0,0,1,0,1,1,0,0
2342-CKIAO,2024-01-02,2,month_to_month,mailed_check,none,20.3,41.2,0,0,0,0,0,0,0,0,0,0,0,0
6963-EZQEE,2024-01-02,70,two_year,credit_card,dsl,88.55,6306.5,1,1,1,1,1,1,1,1,1,0,1,0
2796-NNUFI,2024-01-02,46,two_year,mailed_check,none,19.95,927.1,0,0,0,0,0,0,0,0,1,1,1,0
3486-NPGST,2024-01-02,36,one_year,mailed_check,none,19.55,620.75,0,0,0,0,0,0,0,0,0,0,0,0
9070-BCKQP,2024-01-02,72,two_year,credit_card,fiber_optic,110.15,7881.2,1,0,1,1,1,1,1,0,1,0,1,0
7742-MYPGI,2024-01-02,6,month_to_month,mailed_check,dsl,48.8,297.35,0,0,0,1,0,0,0,0,1,1,1,0
9929-PLVPA,2024-01-02,4,month_to_month,credit_card,none,20.4,94.5,0,0,0,0,0,0,0,0,0,1,0,0
9124-LHCJQ,2024-01-02,1,month_to_month,mailed_check,fiber_optic,85.45,85.45,0,0,0,0,0,1,1,0,0,0,1,1
2792-LSHWX,2024-01-02,1,month_to_month,mailed_check,fiber_optic,83.4,83.4,1,1,0,1,0,0,0,0,0,0,1,0
9330-IJWIO,2024-01-02,13,month_to_month,electronic_check,fiber_optic,100.35,1358.85,1,0,0,0,1,1,1,0,0,0,1,1
0617-AQNWT,2024-01-02,64,two_year,electronic_check,dsl,47.85,3147.5,1,0,1,1,0,1,0,0,1,0,0,1
0895-UADGO,2024-01-02,8,two_year,mailed_check,dsl,44.55,343.45,1,0,0,1,0,1,0,0,0,1,1,0
7255-SSFBC,2024-01-02,72,two_year,bank_transfer,fiber_optic,112.25,8041.65,0,1,1,1,1,1,1,0,1,1,1,0
5834-ASPWA,2024-01-02,1,month_to_month,electronic_check,fiber_optic,75.45,75.45,0,0,0,0,0,0,1,0,0,0,1,1
4132-KALRO,2024-01-02,4,month_to_month,mailed_check,fiber_optic,100.85,399.25,0,0,0,1,1,1,1,0,0,0,1,0
8064-RAVOH,2024-01-02,1,month_to_month,electronic_check,dsl,49.85,49.85,0,0,1,0,0,0,0,0,0,1,1,0
8028-PNXHQ,2024-01-02,62,two_year,bank_transfer,none,24.25,1424.6,0,0,0,0,0,0,1,0,1,1,1,0
9508-ILZDG,2024-01-02,34,month_to_month,electronic_check,fiber_optic,96.35,3190.25,0,1,0,1,1,0,1,1,0,0,1,0
4361-JEIVL,2024-01-02,1,month_to_month,electronic_check,dsl,44.4,44.4,0,0,0,0,0,0,0,0,0,1,1,1
2430-USGXP,2024-01-02,24,month_to_month,electronic_check,fiber_optic,101.05,2391.8,0,0,1,0,1,1,1,0,1,0,1,1
5965-GGPRW,2024-01-02,72,two_year,bank_transfer,fiber_optic,105.25,7609.75,1,0,1,0,1,1,1,0,1,1,0,0
2542-HYGIQ,2024-01-02,1,month_to_month,credit_card,none,19.95,19.95,0,0,0,0,0,0,0,0,0,0,0,0
1035-IPQPU,2024-01-02,63,month_to_month,electronic_check,fiber_optic,103.5,6479.4,0,1,1,0,1,1,1,1,1,0,1,0
3617-XLSGQ,2024-01-02,66,two_year,bank_transfer,fiber_optic,109.25,7082.5,1,1,1,0,1,1,1,0,1,1,0,0
9107-UKCKY,2024-01-02,61,one_year,electronic_check,dsl,79.8,4914.8,0,1,1,0,1,1,1,0,1,0,1,0
5146-YYFRZ,2024-01-02,67,two_year,bank_transfer,none,19.95,1311.75,0,0,0,0,0,0,0,0,0,0,0,0
5649-VUKMC,2024-01-02,12,one_year,mailed_check,fiber_optic,95.5,1115.15,0,0,1,0,1,1,0,0,0,0,0,1
3472-OAOOR,2024-01-02,19,month_to_month,mailed_check,dsl,34.95,610.2,1,1,0,0,0,0,0,0,1,1,1,0
0397-ZXWQF,2024-01-02,67,two_year,bank_transfer,none,20.5,1430.95,0,0,0,0,0,0,0,0,0,0,0,0
1346-UFHAX,2024-01-02,13,month_to_month,credit_card,fiber_optic,80.0,1029.35,1,0,0,0,0,0,1,0,0,0,1,0
7252-NTGSS,2024-01-02,1,month_to_month,mailed_check,dsl,45.15,45.15,0,0,0,0,0,0,0,0,0,0,0,0
3198-VELRD,2024-01-02,3,month_to_month,bank_transfer,fiber_optic,84.75,264.85,0,0,0,0,0,1,1,0,1,1,1,1
3407-QGWLG,2024-01-02,3,month_to_month,mailed_check,none,20.05,75.45,0,0,0,0,0,0,0,0,0,1,1,0
9874-QLCLH,2024-01-02,17,month_to_month,electronic_check,fiber_optic,104.2,1743.5,1,0,1,0,1,1,1,0,1,1,1,1
8668-KNZTI,2024-01-02,52,one_year,electronic_check,dsl,53.75,2790.65,1,0,1,0,0,0,0,0,0,0,0,0
8249-THVEC,2024-01-02,51,one_year,mailed_check,none,19.4,997.75,0,0,0,0,0,0,0,0,1,1,0,0
6060-DRTNL,2024-01-02,5,month_to_month,mailed_check,fiber_optic,84.85,415.55,0,0,1,0,1,0,0,1,0,0,1,1
6773-LQTVT,2024-01-02,29,month_to_month,mailed_check,dsl,35.65,1025.15,0,1,1,0,0,0,0,1,1,1,1,0
7853-GVUDZ,2024-01-02,1,month_to_month,credit_card,none,20.15,20.15,0,0,0,0,0,0,0,0,1,1,1,1
4897-QSUYC,2024-01-02,1,month_to_month,mailed_check,none,20.15,20.15,0,0,0,0,0,0,0,0,0,0,1,1
5197-PYEPU,2024-01-02,42,one_year,credit_card,fiber_optic,94.45,3923.8,1,1,0,0,1,0,1,0,1,1,1,0
3785-NRHYR,2024-01-02,1,month_to_month,mailed_check,none,19.65,19.65,0,0,0,0,0,0,0,0,0,0,0,0
6087-MVHJH,2024-01-02,16,month_to_month,electronic_check,fiber_optic,88.45,1422.1,0,0,1,0,0,1,1,0,0,0,1,1
1685-VAYJF,2024-01-02,11,month_to_month,credit_card,dsl,45.2,492.0,0,0,0,0,0,0,0,0,0,0,0,0
9912-GVSEQ,2024-01-02,26,month_to_month,electronic_check,fiber_optic,93.85,2381.55,0,1,1,0,0,1,1,1,1,0,1,1
4636-OLWOE,2024-01-02,54,one_year,electronic_check,dsl,61.0,3283.05,0,1,1,1,0,0,0,0,0,1,1,0
9600-UDOPK,2024-01-02,30,month_to_month,credit_card,fiber_optic,94.05,2866.45,0,0,0,0,1,1,1,0,1,0,1,1
8631-NBHFZ,2024-01-02,66,two_year,credit_card,dsl,79.4,5154.6,1,1,1,1,1,0,1,1,1,1,0,1
1053-MXTTK,2024-01-02,72,two_year,bank_transfer,fiber_optic,108.65,7726.35,1,1,1,1,1,1,0,0,1,1,1,0
3549-ZTMNH,2024-01-02,12,two_year,bank_transfer,none,24.0,269.65,0,0,0,0,0,0,1,0,1,1,1,0
7825-ECJRF,2024-01-02,19,month_to_month,electronic_check,fiber_optic,106.6,1934.45,1,0,1,1,1,1,0,0,0,0,1,1
6439-LAJXL,2024-01-02,9,month_to_month,mailed_check,dsl,68.95,593.85,1,1,0,1,1,0,0,0,1,0,1,0
4075-WKNIU,2024-01-02,0,two_year,mailed_check,dsl,73.35,0.0,0,1,1,1,1,0,1,0,1,1,0,0
8042-RNLKO,2024-01-02,66,one_year,bank_transfer,none,25.45,1699.15,0,0,0,0,0,0,1,0,0,0,0,0
4881-JVQOD,2024-01-02,10,month_to_month,bank_transfer,dsl,34.55,362.6,0,0,0,0,0,1,0,1,1,1,1,0
9593-CVZKR,2024-01-02,56,two_year,mailed_check,none,24.45,1385.85,0,0,0,0,0,0,1,0,1,1,1,0
9972-EWRJS,2024-01-02,67,two_year,bank_transfer,none,19.25,1372.9,0,0,0,0,0,0,0,0,1,1,1,0
9888-ZCUMM,2024-01-02,64,two_year,bank_transfer,dsl,60.05,3845.45,1,0,1,1,1,1,0,0,1,1,1,0
1265-ZFOSD,2024-01-02,64,two_year,mailed_check,dsl,81.3,5129.3,1,1,1,1,0,1,1,0,1,0,1,0
6078-VESFR,2024-01-02,13,month_to_month,bank_transfer,fiber_optic,70.45,849.1,0,0,0,0,0,0,0,1,1,0,0,0
0306-JAELE,2024-01-02,5,month_to_month,electronic_check,fiber_optic,96.1,453.4,0,0,0,1,1,1,0,0,0,0,1,1
7075-BNDVQ,2024-01-02,4,month_to_month,mailed_check,dsl,35.0,135.75,1,0,1,0,0,0,0,0,0,0,0,0
2208-MPXIO,2024-01-02,45,two_year,bank_transfer,none,20.0,886.4,0,0,0,0,0,0,0,0,1,1,1,0
3096-GKWEB,2024-01-02,18,month_to_month,electronic_check,fiber_optic,94.75,1691.9,0,0,0,0,1,1,1,0,1,0,1,0
7404-JLKQG,2024-01-02,3,month_to_month,electronic_check,dsl,57.55,161.45,0,0,1,0,1,0,0,0,0,0,0,0
5049-GLYVG,2024-01-02,1,month_to_month,mailed_check,none,20.6,20.6,0,0,0,0,0,0,0,0,0,0,0,1
6704-UTUKK,2024-01-02,29,month_to_month,electronic_check,dsl,45.9,1332.4,0,0,0,0,1,1,0,0,1,0,1,0
9397-TZSHA,2024-01-02,69,two_year,credit_card,none,24.6,1678.05,0,0,0,0,0,0,1,0,0,0,0,0
4686-UXDML,2024-01-02,21,month_to_month,credit_card,fiber_optic,99.85,1992.55,0,1,0,0,1,1,1,0,0,0,1,0
3808-HFKDE,2024-01-02,20,month_to_month,electronic_check,dsl,44.35,927.15,0,0,0,0,0,0,0,0,0,0,1,0
3580-HYCSP,2024-01-02,72,two_year,bank_transfer,fiber_optic,110.3,7966.9,1,1,1,0,1,1,1,0,1,1,1,0
9795-VOWON,2024-01-02,7,one_year,credit_card,dsl,24.35,150.85,0,0,0,0,0,0,0,0,0,0,1,0
2159-TURXX,2024-01-02,5,month_to_month,credit_card,none,20.05,95.55,0,0,0,0,0,0,0,0,0,0,0,0
0096-BXERS,2024-01-02,6,month_to_month,electronic_check,dsl,50.35,314.55,0,0,0,0,0,0,1,0,1,0,0,0
6507-DTJZV,2024-01-02,13,month_to_month,credit_card,dsl,66.4,831.75,0,0,0,0,1,1,0,0,0,1,0,0
9962-BFPDU,2024-01-02,1,month_to_month,mailed_check,none,20.05,20.05,0,0,0,0,0,0,0,0,1,1,0,0
4587-NUKOX,2024-01-02,3,month_to_month,electronic_check,fiber_optic,79.1,246.5,1,1,0,0,0,0,0,0,0,0,1,1
4060-LDNLU,2024-01-02,7,month_to_month,electronic_check,fiber_optic,96.2,639.7,0,0,0,0,1,1,1,0,0,0,0,0
2379-ENZGV,2024-01-02,6,month_to_month,electronic_check,fiber_optic,84.85,523.5,0,1,0,0,1,0,0,0,0,0,1,1
4877-EVATK,2024-01-02,1,month_to_month,mailed_check,none,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,1
9442-JTWDL,2024-01-02,11,one_year,credit_card,none,20.05,237.7,0,0,0,0,0,0,0,0,0,0,0,0
2748-MYRVK,2024-01-02,63,one_year,bank_transfer,fiber_optic,99.9,6137.0,0,1,0,0,1,1,1,0,0,0,0,1
3966-HRMZA,2024-01-02,3,month_to_month,mailed_check,fiber_optic,75.05,202.9,0,0,1,0,0,0,0,1,0,0,0,0
2862-JVEOY,2024-01-02,6,one_year,mailed_check,none,19.15,124.4,0,0,0,0,0,0,0,0,0,0,0,0
9489-DEDVP,2024-01-02,70,two_year,credit_card,dsl,69.2,4872.35,1,1,0,0,1,0,1,0,1,1,1,0
9469-WEJBT,2024-01-02,37,month_to_month,electronic_check,fiber_optic,90.35,3419.3,0,0,1,1,0,1,0,0,1,0,1,0
2384-OVPSA,2024-01-02,38,two_year,mailed_check,none,20.2,735.9,0,0,0,0,0,0,0,1,0,0,0,0
2186-QZEYA,2024-01-02,29,month_to_month,bank_transfer,dsl,58.55,1718.95,1,1,0,0,0,0,1,1,0,0,1,0
6202-JVYEU,2024-01-02,9,one_year,electronic_check,none,19.9,164.6,0,0,0,0,0,0,0,0,0,0,1,0
6419-ZTTLE,2024-01-02,23,one_year,electronic_check,none,20.75,485.2,0,0,0,0,0,0,0,1,1,0,1,0
