customer_id,snapshot_date,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,multiple_lines,senior_citizen,has_partner,has_dependents,paperless_billing,churn
5868-YWPDW,2024-01-07,6,month_to_month,electronic_check,fiber_optic,84.2,519.15,0,1,0,0,0,1,0,1,1,0,1,1
1320-REHCS,2024-01-07,52,month_to_month,electronic_check,fiber_optic,110.75,5832.0,0,1,1,1,1,1,1,1,0,0,1,0
1023-BQXZE,2024-01-07,57,two_year,bank_transfer,dsl,74.35,4317.35,1,0,1,0,1,1,0,0,0,0,1,0
5832-TRLPB,2024-01-07,29,one_year,bank_transfer,dsl,75.35,2243.9,0,0,1,1,1,1,0,0,0,0,1,0
3967-VQOGC,2024-01-07,67,two_year,mailed_check,none,24.9,1680.25,0,0,0,0,0,0,1,0,1,1,1,0
9661-ACXBS,2024-01-07,42,month_to_month,electronic_check,fiber_optic,105.2,4400.75,1,0,1,0,1,1,1,0,0,0,1,1
5602-BVFMK,2024-01-07,12,one_year,mailed_check,none,19.3,228.75,0,0,0,0,0,0,0,0,0,0,0,0
4323-SADQS,2024-01-07,7,month_to_month,electronic_check,dsl,34.5,279.25,1,0,0,1,0,0,0,0,1,1,1,1
1539-LNKHM,2024-01-07,12,month_to_month,mailed_check,none,20.4,266.6,0,0,0,0,0,0,0,0,0,0,0,0
7470-MCQTK,2024-01-07,13,month_to_month,bank_transfer,dsl,48.75,633.4,0,0,1,0,1,1,0,0,1,0,1,1
5136-RGMZO,2024-01-07,31,month_to_month,electronic_check,dsl,71.05,2168.15,0,1,0,1,1,0,1,0,0,0,1,0
6543-CPZMK,2024-01-07,9,month_to_month,electronic_check,dsl,29.95,248.95,0,1,0,0,0,0,0,0,1,1,1,1
9639-BUJXT,2024-01-07,63,one_year,mailed_check,none,20.5,1328.15,0,0,0,0,0,0,0,0,0,0,0,0
7856-GANIL,2024-01-07,45,one_year,bank_transfer,fiber_optic,98.7,4525.8,0,1,1,1,1,0,1,1,1,0,1,0
4415-WNGVR,2024-01-07,12,one_year,electronic_check,dsl,79.2,943.85,1,0,1,1,1,1,0,1,1,0,1,0
3481-JHUZH,2024-01-07,41,month_to_month,electronic_check,fiber_optic,80.25,3439.0,0,1,0,0,0,0,1,0,1,0,1,0
0278-YXOOG,2024-01-07,5,month_to_month,mailed_check,none,21.05,113.85,0,0,0,0,0,0,0,0,0,0,0,1
5227-JSCFE,2024-01-07,71,two_year,credit_card,dsl,46.35,3353.4,1,1,1,1,0,0,0,1,1,0,0,0
2091-GPPIQ,2024-01-07,72,two_year,electronic_check,dsl,78.95,5730.15,0,1,0,1,1,1,1,0,1,1,1,0
9643-YBLUR,2024-01-07,9,month_to_month,credit_card,dsl,69.05,653.95,0,1,1,0,0,1,1,0,1,0,1,0
9419-IPPBE,2024-01-07,51,one_year,electronic_check,fiber_optic,90.15,4554.85,0,0,1,0,0,1,1,0,1,1,1,0
2877-VDUER,2024-01-07,35,one_year,mailed_check,dsl,40.9,1383.6,0,0,0,1,1,0,0,0,1,1,0,0
2924-KHUVI,2024-01-07,56,one_year,electronic_check,fiber_optic,100.55,5514.95,1,0,0,0,1,1,1,0,1,0,1,0
0439-IFYUN,2024-01-07,18,month_to_month,electronic_check,fiber_optic,74.7,1294.6,0,1,0,0,0,0,0,1,0,0,1,0
2587-EKXTS,2024-01-07,44,month_to_month,electronic_check,fiber_optic,111.5,4915.15,1,1,1,0,1,1,1,0,0,0,1,0
6661-EIPZC,2024-01-07,48,month_to_month,credit_card,dsl,29.5,1423.05,0,0,0,1,0,0,0,0,1,1,1,0
5756-JYOJT,2024-01-07,11,one_year,credit_card,dsl,64.9,697.25,0,0,1,1,0,1,0,0,0,0,0,0
3259-FDWOY,2024-01-07,71,two_year,bank_transfer,fiber_optic,106.0,7723.7,0,1,1,0,1,1,1,0,1,1,1,1
1480-IVEVR,2024-01-07,35,one_year,bank_transfer,fiber_optic,81.6,2815.25,0,0,1,0,0,0,1,1,1,0,1,0
8070-AAWZP,2024-01-07,24,month_to_month,mailed_check,dsl,34.25,828.2,0,0,1,1,0,0,0,1,1,0,0,0
2001-EWBQU,2024-01-07,60,two_year,electronic_check,fiber_optic,104.7,6333.8,0,1,1,0,1,1,1,0,0,0,0,0
2606-RMDHZ,2024-01-07,6,month_to_month,credit_card,dsl,30.5,208.7,0,1,0,0,0,0,0,0,0,0,1,1
5688-KZTSN,2024-01-07,15,month_to_month,electronic_check,none,20.0,288.05,0,0,0,0,0,0,0,0,1,1,1,1
5956-YHHRX,2024-01-07,21,month_to_month,electronic_check,fiber_optic,104.35,2271.85,0,1,1,0,1,1,1,1,0,0,1,0
6563-VRERX,2024-01-07,33,one_year,mailed_check,none,20.6,690.25,0,0,0,0,0,0,0,0,1,1,0,0
7243-LCGGZ,2024-01-07,1,month_to_month,mailed_check,none,20.9,20.9,0,0,0,0,0,0,0,0,0,0,0,0
3777-XROBG,2024-01-07,58,two_year,credit_card,none,19.55,1079.65,0,0,0,0,0,0,0,0,1,1,0,0
5081-NWSUP,2024-01-07,10,one_year,mailed_check,dsl,64.9,685.55,0,1,0,1,0,1,0,0,0,0,0,0
5442-BXVND,2024-01-07,33,month_to_month,bank_transfer,none,24.25,838.5,0,0,0,0,0,0,1,0,1,1,0,0
0612-RTZZA,2024-01-07,1,month_to_month,electronic_check,dsl,25.25,25.25,0,0,0,0,0,0,0,1,0,0,0,1
5103-MHMHY,2024-01-07,1,month_to_month,mailed_check,dsl,45.95,45.95,0,0,0,0,0,0,0,0,0,1,0,1
5269-NRGDP,2024-01-07,42,one_year,electronic_check,dsl,73.15,3088.25,0,0,1,1,1,1,0,0,1,1,0,0
4781-ZXYGU,2024-01-07,1,month_to_month,bank_transfer,none,20.15,20.15,0,0,0,0,0,0,0,0,1,1,1,0
0902-RFHOF,2024-01-07,38,one_year,mailed_check,none,20.1,730.1,0,0,0,0,0,0,0,0,0,0,0,0
8601-QACRS,2024-01-07,5,month_to_month,mailed_check,dsl,50.6,249.95,0,0,0,0,0,0,1,0,0,0,1,1
6333-YDVLT,2024-01-07,65,one_year,credit_card,fiber_optic,110.0,7138.65,1,0,1,1,1,1,1,0,0,0,1,0
5730-RIITO,2024-01-07,43,month_to_month,credit_card,dsl,33.45,1500.25,1,1,0,0,0,0,0,1,0,0,1,0
8125-QPFJD,2024-01-07,72,two_year,bank_transfer,dsl,84.9,6065.3,1,0,1,1,1,1,1,0,1,0,1,0
6270-OMFIW,2024-01-07,60,one_year,electronic_check,fiber_optic,94.4,5610.25,0,1,0,0,1,1,0,0,1,0,1,1
7879-CGSFV,2024-01-07,55,one_year,mailed_check,fiber_optic,100.9,5552.05,1,1,0,0,1,1,0,0,0,0,1,0
3870-SPZSI,2024-01-07,70,two_year,credit_card,fiber_optic,113.05,7869.05,1,1,1,1,1,1,1,0,1,1,1,0
8873-GLDMH,2024-01-07,6,month_to_month,mailed_check,fiber_optic,73.85,401.3,0,0,0,0,0,0,1,0,0,0,1,0
5716-LIBJC,2024-01-07,13,one_year,credit_card,fiber_optic,104.15,1299.1,0,1,1,0,1,1,1,0,0,1,1,0
0224-NIJLP,2024-01-07,8,two_year,mailed_check,none,20.15,165.5,0,0,0,0,0,0,0,0,1,1,0,0
4713-ZBURT,2024-01-07,45,two_year,bank_transfer,fiber_optic,99.7,4634.35,0,0,1,0,1,1,1,0,0,1,0,0
3870-MQAMG,2024-01-07,54,one_year,electronic_check,fiber_optic,110.35,5893.15,0,1,1,1,1,1,1,0,1,0,0,1
3550-SAHFP,2024-01-07,33,month_to_month,electronic_check,fiber_optic,83.35,2757.85,0,0,0,0,0,1,1,0,0,0,1,1
4700-UBQMV,2024-01-07,21,one_year,bank_transfer,dsl,75.9,1549.75,1,0,0,0,1,1,1,0,1,1,1,0
0727-BMPLR,2024-01-07,55,one_year,electronic_check,fiber_optic,100.0,5509.3,0,0,1,0,1,1,1,1,0,0,1,1
3627-FHKBK,2024-01-07,1,month_to_month,mailed_check,fiber_optic,75.3,75.3,1,0,0,0,0,0,0,0,0,0,0,1
